country,iso3,region,income_level,gdp_per_capita_usd,log10_gdp_per_capita,life_expectancy_years,population,population_millions,urban_pop_pct,fertility_rate,health_exp_per_capita_usd,co2_per_capita_t
Thailand,THA,East Asia & Pacific,Upper middle income,6910.00995211206,3.8394786728654053,75.291,71735329,71.735,59.742374420166,1.221,369.97647095,3.963374866518
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2343.24955542816,3.3698185433020096,67.368,1369295,1.369,28.5857292288968,2.801,174.91529846,0.50726833881669
Togo,TGO,Sub-Saharan Africa,Lower middle income,1071.61539220759,3.03003894299404,62.292,8068616,8.069,42.7332327975627,4.253183,55.79545593,0.322781503048354
Tonga,TON,East Asia & Pacific,Upper middle income,5298.01942454298,3.724113546251957,72.635,105042,0.105,21.147219451842,3.171,382.79116821,1.53652824584452
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,20750.5202434652,4.317028989531671,73.331,1365805,1.366,53.9474037904998,1.544,1266.28820801,20.8660094230143
Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,3707.29283414381,3.5690568917295624,76.05,12119334,12.119,69.707138648303,1.847,276.46380615,2.50498913554161
Turkiye,TUR,Europe & Central Asia,Upper middle income,10897.8397861365,4.037340418863713,77.591,84979913,84.98,89.0381164550781,1.63,385.87997437,5.22956172007378
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,5198.18947409551,3.7158521054948195,69.913,7230193,7.23,47.0592103414926,2.728,579.15454102,14.0053384467054
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,31280.5418020808,4.495274266754056,77.918,45847,0.046,93.6922471653237,1.477,,4.8094749929112
Tuvalu,TUV,East Asia & Pacific,Upper middle income,5414.74642912412,3.7335781235632464,66.852,9992,0.01,63.3065768081154,3.244,1300.46679688,0
Uganda,UGA,Sub-Saharan Africa,Low income,963.067314117178,2.9836566434360114,67.675,47312719,47.313,29.9251969709665,4.388,44.47286224,0.168117583772769
Ukraine,UKR,Europe & Central Asia,Upper middle income,4199.6708984375,3.62321525882824,72.658,41048766,41.049,69.42345912103,0.897,,2.90739555971061
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income,50759.7590190204,4.705519551622862,80.487,10074977,10.075,85.5147347682487,1.148,2240.9050293,19.3731459635094
United Kingdom,GBR,Europe & Central Asia,High income,47034.7795621476,4.672419112958227,81.0112195121951,67636000,67.636,83.0753982997505,1.56,5111.81738281,4.80505795730085
United States,USA,North America,High income,78008.6895811877,4.892142982523346,77.4341463414634,333996304,333.996,80.0324978239707,1.6565,12586.19628906,14.4186221294233
Uruguay,URY,Latin America & Caribbean,High income,21009.2883798725,4.3224113423665145,76.468,3390913,3.391,95.4977416992188,1.425,1850.80737305,2.38667285182486
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2698.60262953369,3.431138939204127,72.147,34938955,34.939,50.9847412109375,3.396,170.64073181,3.68952648984493
Vanuatu,VUT,East Asia & Pacific,Lower middle income,3679.53524327491,3.565792967035546,71.302,313046,0.313,22.2541249733107,3.647,136.79508972,0.865368028979767
"Venezuela, RB",VEN,Latin America & Caribbean,Lower middle income,3155.04190923584,3.499005132464141,72.566,28213017,28.213,89.2132204732836,2.088,208.66654968,3.26104790565291
Viet Nam,VNM,East Asia & Pacific,Upper middle income,4147.69777213621,3.617807103388296,74.502,99680655,99.681,37.5478515625,1.927,188.22650146,3.45101965872917
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,44320.909185774,4.64660866079787,80.319512195122,105413,0.105,95.2171514724412,2,,0.00189729919459649
West Bank and Gaza,PSE,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,3799.95527015163,3.579778484500848,76.662,5043612,5.044,86.5961423216016,3.375,350.63812256,
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1447.12310138035,3.1605054765068874,65.279,20152938,20.153,44.5988511178469,4.175,75.40128326,0.524548827570452
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2536.40197087505,3.4042180819774006,62.36,16069056,16.069,38.7055207169041,3.767,68.90727997,0.719220842842293
